step,loss
1,0.942841
2,0.945338
3,0.945796
4,0.945168
5,0.946863
6,0.945351
7,0.942879
8,0.943186
9,0.943298
10,0.942245
11,0.939423
12,0.939686
13,0.939788
14,0.941627
15,0.939693
16,0.938646
17,0.937748
18,0.938264
19,0.937313
20,0.936251
21,0.935685
22,0.936241
23,0.934416
24,0.934712
25,0.932689
26,0.932714
27,0.932906
28,0.931368
29,0.928515
30,0.930921
31,0.927501
32,0.927204
33,0.925195
34,0.926279
35,0.923837
36,0.921035
37,0.921006
38,0.921107
39,0.917504
40,0.917505
41,0.908015
42,0.917726
43,0.914474
44,0.901516
45,0.913805
46,0.900231
47,0.893182
48,0.897410
49,0.914446
50,0.900604
51,0.906901
52,0.900334
53,0.864792
54,0.875731
55,0.903669
56,0.893268
57,0.873016
58,0.892205
59,0.880841
60,0.868809
61,0.839108
62,0.834657
63,0.861316
64,0.815729
65,0.862342
66,0.838124
67,0.794135
68,0.834993
69,0.811157
70,0.826503
71,0.829143
72,0.818816
73,0.896819
74,0.762343
75,0.811490
76,0.776996
77,0.763472
78,0.813253
79,0.826303
80,0.775736
81,0.820325
82,0.887382
83,0.819316
84,0.732298
85,0.669832
86,0.894871
87,0.712807
88,0.934429
89,0.739285
90,0.893109
91,0.811109
92,0.684886
93,0.801986
94,0.846506
95,0.671344
96,0.766641
97,0.635900
98,0.733828
99,0.601803
100,0.769566
101,0.545473
102,0.779950
103,0.823816
104,0.967354
105,0.732415
106,0.745647
107,0.909138
108,0.876511
109,0.826431
110,0.662408
111,0.603714
112,0.769156
113,0.696888
114,0.699066
115,0.786874
116,0.719802
117,0.875230
118,0.643375
119,0.648210
120,0.734907
121,0.683541
122,0.811199
123,0.803267
124,0.668521
125,0.804381
126,0.713595
127,0.638226
128,0.574492
129,0.837253
130,0.757946
131,0.561830
132,0.715383
133,0.754709
134,0.823744
135,0.723465
136,0.688755
137,0.706650
138,0.730136
139,0.661846
140,0.783218
141,0.825322
142,0.670220
143,0.629564
144,0.664693
145,0.677933
146,0.535392
147,0.770507
148,0.698964
149,1.052232
150,0.643494
151,0.757616
152,0.656138
153,0.692878
154,0.769224
155,0.776457
156,0.780330
157,0.631857
158,0.657065
159,0.578148
160,0.648460
161,0.829502
162,0.877020
163,0.777722
164,0.845279
165,0.740930
166,0.660171
167,0.656073
168,0.800489
169,0.800699
170,0.540259
171,0.755185
172,0.573781
173,0.783736
174,0.750586
175,0.670624
176,0.571693
177,0.642940
178,0.564169
179,0.896532
180,0.657654
